address,time,value
0014.4F01.0000.7811,2013-09-18 22:07:07.746,75
0014.4F01.0000.7811,2013-09-18 22:07:25.161,75
0014.4F01.0000.7811,2013-09-18 22:08:11.01,74
0014.4F01.0000.7811,2013-09-18 22:08:37.131,74
0014.4F01.0000.7811,2013-09-18 22:09:37.132,76
0014.4F01.0000.7811,2013-09-18 22:10:37.133,76
0014.4F01.0000.7811,2013-09-18 22:11:37.134,76
0014.4F01.0000.7811,2013-09-18 22:12:37.135,76
0014.4F01.0000.7811,2013-09-18 22:13:37.136,76
0014.4F01.0000.7811,2013-09-18 22:14:37.137,76
0014.4F01.0000.3560,2013-09-18 22:15:00.847,79
0014.4F01.0000.7811,2013-09-18 22:15:37.138,76
0014.4F01.0000.3560,2013-09-18 22:16:00.848,79
0014.4F01.0000.7811,2013-09-18 22:16:37.139,76
0014.4F01.0000.3560,2013-09-18 22:17:00.849,77
0014.4F01.0000.35EC,2013-09-18 22:17:31.239,81
0014.4F01.0000.7811,2013-09-18 22:17:37.14,76
0014.4F01.0000.3560,2013-09-18 22:18:00.85,76
0014.4F01.0000.35EC,2013-09-18 22:18:31.24,81
0014.4F01.0000.7811,2013-09-18 22:18:37.141,76
0014.4F01.0000.3560,2013-09-18 22:19:00.851,76
0014.4F01.0000.35EC,2013-09-18 22:19:31.241,84
0014.4F01.0000.7811,2013-09-18 22:19:37.143,76
0014.4F01.0000.3560,2013-09-18 22:20:00.852,75
0014.4F01.0000.35EC,2013-09-18 22:20:31.242,83
0014.4F01.0000.7811,2013-09-18 22:20:37.144,71
0014.4F01.0000.3560,2013-09-18 22:21:00.853,75
0014.4F01.0000.35EC,2013-09-18 22:21:31.243,83
0014.4F01.0000.7811,2013-09-18 22:21:37.145,71
0014.4F01.0000.3560,2013-09-18 22:22:00.854,75
0014.4F01.0000.35EC,2013-09-18 22:22:31.244,80
0014.4F01.0000.7811,2013-09-18 22:22:37.146,71
0014.4F01.0000.3560,2013-09-18 22:23:00.855,74
0014.4F01.0000.35EC,2013-09-18 22:23:31.245,80
0014.4F01.0000.7811,2013-09-18 22:23:37.147,71
0014.4F01.0000.3560,2013-09-18 22:24:00.856,75
0014.4F01.0000.35EC,2013-09-18 22:24:31.246,77
0014.4F01.0000.7811,2013-09-18 22:24:37.148,71
0014.4F01.0000.3560,2013-09-18 22:25:00.857,74
0014.4F01.0000.35EC,2013-09-18 22:25:31.247,76
0014.4F01.0000.7811,2013-09-18 22:25:37.149,71
0014.4F01.0000.3560,2013-09-18 22:26:00.858,74
0014.4F01.0000.35EC,2013-09-18 22:26:31.248,76
0014.4F01.0000.7811,2013-09-18 22:26:37.15,71
0014.4F01.0000.3560,2013-09-18 22:27:00.859,73
0014.4F01.0000.35EC,2013-09-18 22:27:31.249,76
0014.4F01.0000.7811,2013-09-18 22:27:37.151,71
0014.4F01.0000.3560,2013-09-18 22:28:00.861,73
0014.4F01.0000.35EC,2013-09-18 22:28:31.25,75
0014.4F01.0000.7811,2013-09-18 22:28:37.152,71
0014.4F01.0000.3560,2013-09-18 22:29:00.863,73
0014.4F01.0000.35EC,2013-09-18 22:29:31.251,74
0014.4F01.0000.7811,2013-09-18 22:29:37.153,71
0014.4F01.0000.3560,2013-09-18 22:30:00.864,72
0014.4F01.0000.35EC,2013-09-18 22:30:31.252,73
